ColonyID,Species,Phenotype,Sample,Timepoint,Diameter,Height,Without_wax_weight_g,With_wax_weight_g,Notes
233,Porites compressa,Susceptible,Coral,January_2024,NA,NA,5.9148,6.5668,
234,Porites compressa,Resistant,Coral,January_2024,NA,NA,6.3031,6.8321,
235,Porites compressa,Susceptible,Coral,January_2024,NA,NA,6.4411,7.1575,
236,Porites compressa,Resistant,Coral,January_2024,NA,NA,6.0652,6.7105,
237,Porites compressa,Susceptible,Coral,January_2024,NA,NA,5.4604,5.9551,
238,Porites compressa,Resistant,Coral,January_2024,NA,NA,3.4248,3.7081,
239,Porites compressa,Susceptible,Coral,January_2024,NA,NA,5.1846,5.5781,
240,Porites compressa,Resistant,Coral,January_2024,NA,NA,3.3874,3.6747,
241,Porites compressa,Susceptible,Coral,January_2024,NA,NA,7.7339,8.5021,
242,Porites compressa,Resistant,Coral,January_2024,NA,NA,5.4569,6.0295,
243,Porites compressa,Susceptible,Coral,January_2024,NA,NA,5.7742,6.3655,
244,Porites compressa,Resistant,Coral,January_2024,NA,NA,6.4237,6.9809,
247,Porites compressa,Susceptible,Coral,January_2024,NA,NA,7.0335,7.6819,
248,Porites compressa,Resistant,Coral,January_2024,NA,NA,5.8809,6.3511,
Standard1,NA,NA,Standard,January_2024,1.5875,7.3025,6.5917,7.4934,
Standard2,NA,NA,Standard,January_2024,0.9525,7.3025,2.4991,3.0492,
Standard3,NA,NA,Standard,January_2024,1.27,7.3025,5.2701,6.1131,
1,Montipora capitata,Susceptible,Coral,May_2024,NA,NA,3.0905,3.5594,
2,Montipora capitata,Resistant,Coral,May_2024,NA,NA,2.6384,3.2776,
3,Montipora capitata,Susceptible,Coral,May_2024,NA,NA,1.4658,1.8136,
4,Montipora capitata,Resistant,Coral,May_2024,NA,NA,3.5062,4.0065,
12,Montipora capitata,Resistant,Coral,May_2024,NA,NA,1.7534,2.0593,
19,Montipora capitata,Susceptible,Coral,May_2024,NA,NA,2.1779,4.4463,May be overestimation 
20,Montipora capitata,Resistant,Coral,May_2024,NA,NA,2.5349,3.0225,
26,Porites compressa,Resistant,Coral,May_2024,NA,NA,3.7867,4.1552,
27,Porites compressa,Susceptible,Coral,May_2024,NA,NA,2.8378,3.1289,
28,Porites compressa,Resistant,Coral,May_2024,NA,NA,4.7765,5.4005,
29,Porites compressa,Susceptible,Coral,May_2024,NA,NA,4.6988,5.1612,
41,Porites compressa,Susceptible,Coral,May_2024,NA,NA,2.9568,3.2532,
42,Porites compressa,Resistant,Coral,May_2024,NA,NA,2.6487,2.9358,
43,Porites compressa,Susceptible,Coral,May_2024,NA,NA,7.8219,8.5233,
44,Porites compressa,Resistant,Coral,May_2024,NA,NA,4.377,4.7609,
201,Montipora capitata,Susceptible,Coral,May_2024,NA,NA,5.7933,6.6485,
202,Montipora capitata,Resistant,Coral,May_2024,NA,NA,5.2783,5.9094,
203,Montipora capitata,Susceptible,Coral,May_2024,NA,NA,4.0548,5.0011,
204,Montipora capitata,Resistant,Coral,May_2024,NA,NA,2.4906,2.8873,
205,Montipora capitata,Susceptible,Coral,May_2024,NA,NA,3.0598,4.332,May be overestimation
206,Montipora capitata,Resistant,Coral,May_2024,NA,NA,3.1889,3.687,
209,Montipora capitata,Susceptible,Coral,May_2024,NA,NA,1.3849,1.7063,
210,Montipora capitata,Resistant,Coral,May_2024,NA,NA,4.6381,5.8471,May be overestimation
211,Montipora capitata,Susceptible,Coral,May_2024,NA,NA,6.1566,7.065,
213,Montipora capitata,Susceptible,Coral,May_2024,NA,NA,2.5325,3.1507,
214,Montipora capitata,Resistant,Coral,May_2024,NA,NA,2.8819,3.5277,
219,Montipora capitata,Susceptible,Coral,May_2024,NA,NA,1.8615,2.2915,
220,Montipora capitata,Resistant,Coral,May_2024,NA,NA,2.0131,2.4521,
221,Montipora capitata,Susceptible,Coral,May_2024,NA,NA,2.4268,3.1679,
225,Porites compressa,Susceptible,Coral,May_2024,NA,NA,2.1784,2.3916,
233,Porites compressa,Susceptible,Coral,May_2024,NA,NA,4.7032,5.1296,
234,Porites compressa,Resistant,Coral,May_2024,NA,NA,3.0958,3.3779,
235,Porites compressa,Susceptible,Coral,May_2024,NA,NA,3.5993,3.9504,
236,Porites compressa,Resistant,Coral,May_2024,NA,NA,1.6927,1.9149,
237,Porites compressa,Susceptible,Coral,May_2024,NA,NA,3.2682,3.5918,
238,Porites compressa,Resistant,Coral,May_2024,NA,NA,4.0777,4.3758,
239,Porites compressa,Susceptible,Coral,May_2024,NA,NA,3.1115,3.4157,
240,Porites compressa,Resistant,Coral,May_2024,NA,NA,3.7585,4.1141,
241,Porites compressa,Susceptible,Coral,May_2024,NA,NA,4.6449,5.0587,
242,Porites compressa,Resistant,Coral,May_2024,NA,NA,5.0434,5.5827,
243,Porites compressa,Susceptible,Coral,May_2024,NA,NA,3.1884,3.4815,
244,Porites compressa,Resistant,Coral,May_2024,NA,NA,2.6045,2.895,
247,Porites compressa,Susceptible,Coral,May_2024,NA,NA,4.2585,4.6917,
248,Porites compressa,Resistant,Coral,May_2024,NA,NA,3.3045,3.6186,
Standard1,NA,NA,Standard,May_2024,3,9.8,44.6561,49.1954,"Same as Oct 2024, Jan 2025, and Oct 2025"
Standard2,NA,NA,Standard,May_2024,1.5,7.3,6.7453,8.0028,"Same as Oct 2024, Jan 2025, and Oct 2025"
Standard3,NA,NA,Standard,May_2024,1.1,7.6,6.1658,7.331,"Same as Oct 2024, Jan 2025, and Oct 2025"
Standard4,NA,NA,Standard,May_2024,1.2,15,11.7761,14.1594,"Same as Oct 2024, Jan 2025, and Oct 2025"
Standard5,NA,NA,Standard,May_2024,0.7,15,4.4632,5.8993,"Same as Oct 2024, Jan 2025, and Oct 2025"
Standard6,NA,NA,Standard,May_2024,0.2,15,0.7428,1.2505,"Same as Oct 2024, Jan 2025, and Oct 2025"
1,Montipora capitata,Susceptible,Coral,October_2024,NA,NA,3.3684,3.9174,
2,Montipora capitata,Resistant,Coral,October_2024,NA,NA,4.1389,4.8378,
3,Montipora capitata,Susceptible,Coral,October_2024,NA,NA,3.3883,3.8112,
4,Montipora capitata,Resistant,Coral,October_2024,NA,NA,5.1658,5.8607,
12,Montipora capitata,Resistant,Coral,October_2024,NA,NA,4.1583,4.741,
19,Montipora capitata,Susceptible,Coral,October_2024,NA,NA,2.4425,2.9485,
20,Montipora capitata,Resistant,Coral,October_2024,NA,NA,3.8951,4.5296,
26,Porites compressa,Resistant,Coral,October_2024,NA,NA,4.7033,5.2417,
27,Porites compressa,Susceptible,Coral,October_2024,NA,NA,4.4456,4.9307,
28,Porites compressa,Resistant,Coral,October_2024,NA,NA,3.3026,3.7628,
29,Porites compressa,Susceptible,Coral,October_2024,NA,NA,3.0881,3.4493,
41,Porites compressa,Susceptible,Coral,October_2024,NA,NA,2.7768,3.1339,
42,Porites compressa,Resistant,Coral,October_2024,NA,NA,6.7254,7.3365,
43,Porites compressa,Susceptible,Coral,October_2024,NA,NA,5.5479,6.0774,
44,Porites compressa,Resistant,Coral,October_2024,NA,NA,3.9623,4.4122,
201,Montipora capitata,Susceptible,Coral,October_2024,NA,NA,3.0172,3.4133,
202,Montipora capitata,Resistant,Coral,October_2024,NA,NA,4.3985,4.9623,
203,Montipora capitata,Susceptible,Coral,October_2024,NA,NA,1.9879,2.3238,
204,Montipora capitata,Resistant,Coral,October_2024,NA,NA,4.2963,4.8608,
205,Montipora capitata,Susceptible,Coral,October_2024,NA,NA,3.9914,4.6681,
206,Montipora capitata,Resistant,Coral,October_2024,NA,NA,6.9817,8.1889,May be an overestimation
209,Montipora capitata,Susceptible,Coral,October_2024,NA,NA,3.2054,3.8081,
