Run,Light_Level_Percent,Light_Value,Date,Start.time,Stop.time,Length,Notes
2,100,1570,2025-10-02,11:34,11:49,15 mins,
2,0,0,2025-10-02,11:50,12:05,15 mins,
3,10,220,2025-10-02,12:17,12:34,15 mins,
3,20,445,2025-10-02,12:35,12:45,10 mins,Incoming seawater was turned off for ~20 mins while sand filters were being replaced by CRL
3,40,707,2025-10-02,12:46,12:57,10 mins,Incoming seawater was turned off for ~20 mins while sand filters were being replaced by CRL
3,60,1013,2025-10-02,12:58,13:08,10 mins,
3,80,1284,2025-10-02,13:09,13:19,10 mins,
3,100,1570,2025-10-02,13:20,13:35,15 mins,
3,0,0,2025-10-02,13:36,13:51,15 mins,
4,10,220,2025-10-02,14:06,14:22,15 mins,
4,20,445,2025-10-02,14:23,14:33,10 mins,
4,40,707,2025-10-02,14:34,14:44,10 mins,
4,60,1013,2025-10-02,14:45,14:56,10 mins,
4,80,1284,2025-10-02,14:57,15:07,10 mins,
4,100,1570,2025-10-02,15:08,15:24,15 mins,
4,0,0,2025-10-02,15:25,15:40,15 mins,
5,10,220,2025-10-02,15:56,16:11,15 mins,
5,20,445,2025-10-02,16:12,16:22,10 mins,
5,40,707,2025-10-02,16:23,16:33,10 mins,
5,60,1013,2025-10-02,16:34,16:45,10 mins,
5,80,1284,2025-10-02,16:46,16:56,10 mins,
5,100,1570,2025-10-02,16:57,17:13,15 mins,
5,0,0,2025-10-02,17:14,17:29,15 mins,
