Date,Treatment,Light,Species,Phenotype,Colony ID,Sample,Total duration (hours),Alkalinity,Change in Alkalinity,Change in alkalinity_mean divided by 2,Plug (average of cca and new plug),Change in alkalinity- plug blank,Total volume via displacement (mL),umol CaCO3h-1,Frag volume (cm3),Total volume via displacement (cm3),mol CaCO3h-1,Surface area coral (cm2),Surface area plug (cm2),Actual surface area (cm2),mol CaCO3h-1 cm-2,umol CaCO3h-1 cm-2
45183,Field,Light,Montipora capitata,Resistant,212,31,1.3333,2188.15,-1.4,-0.7,,-0.7,246,-132.7695192,3.038114354,243.9618856,-131.6695214,13.92379016,,,-9.456442527,-0.009456443
45183,Field,Dark,Montipora capitata,Resistant,212,42,0.53,2193.6,-6.85,-3.425,,-3.425,246,-1634.229057,3.038114354,243.9618856,-1620.68944,13.92379016,,,-116.3971463,-0.116397146
45183,Field,Light,Montipora capitata,Susceptible ,213,8,1.233,2166.2,12.6,6.3,,6.3,246,1292.128467,,247,1297.381022,,,,,
45183,Field,Light,Montipora capitata,Resistant,214,10,1.233,2154.3,24.5,12.25,,12.25,245,2502.258719,3.210278792,243.7897212,2489.897777,16.11632924,,,154.4953408,0.154495341
45183,Field,Dark,Montipora capitata,Resistant,214,20,0.53,2180.9,10.95,5.475,,5.475,245,2601.761321,3.210278792,243.7897212,2588.908845,16.11632924,,,160.6388655,0.160638866
45183,Field,Light,Montipora capitata,Susceptible ,219,6,1.233,2176.3,2.5,1.25,,1.25,246,256.3746959,2.740739711,244.2592603,254.560543,14.68375978,,,17.33619637,0.017336196
45183,Field,Dark,Montipora capitata,Susceptible ,219,17,0.53,2180.15,11.7,5.85,,5.85,246,2791.310943,2.740739711,244.2592603,2771.559131,14.68375978,,,188.7499641,0.188749964
45183,Field,Light,Montipora capitata,Resistant,220,2,1.2,2155.55,23.25,11.625,,11.625,245,2439.89375,3.549688032,243.450312,2424.460794,16.3527826,,,148.2598316,0.148259832
45183,Field,Dark,Montipora capitata,Resistant,220,12,0.53,2199.5,-7.65,-3.825,,-3.825,245,-1817.668868,3.549688032,243.450312,-1806.171645,16.3527826,,,-110.4504163,-0.110450416
45183,Field,Light,Montipora capitata,Susceptible ,221,4,1.2,2159.9,18.9,9.45,,9.45,245.5,1987.44525,3.423319087,243.5766809,1971.87502,15.39503037,,,128.085166,0.128085166
45183,Field,Dark,Montipora capitata,Susceptible ,221,15,0.53,2171.55,20.3,10.15,,10.15,245.5,4833.200189,3.423319087,243.5766809,4795.335479,15.39503037,,,311.4859382,0.311485938
45184,Field,Light,Porites compressa,Susceptible ,225,8,1.283333333,2153.55,30.7,15.35,,15.35,244,3000.211325,3.186408505,243.8135915,2997.919255,14.89756981,,,201.2354562,0.201235456
45184,Field,Dark,Porites compressa,Susceptible ,225,18,0.566666667,2166.7,18.3,9.15,,9.15,244,4050.199059,3.186408505,243.8135915,4047.104831,14.89756981,,,271.6620821,0.271662082
45184,Field,Light,Porites compressa,Resistant,226,2,1.233333333,2160.85,31.3,15.65,,15.65,244,3182.854703,4.857968668,242.1420313,3158.618456,18.51332616,,,170.6132344,0.170613234
45184,Field,Dark,Porites compressa,Resistant,226,13,0.55,2180.15,8.35,4.175,,4.175,244,1904.042909,4.857968668,242.1420313,1889.544335,18.51332616,,,102.0640116,0.102064012
45184,Field,Light,Porites compressa,Susceptible ,233,32,1.3,2129.85,55.4,27.7,,27.7,244,5344.651077,3.779255477,243.2207445,5327.582025,15.22419622,,,349.9417603,0.34994176
45184,Field,Dark,Porites compressa,Susceptible ,233,43,0.6,2167.15,6.5,3.25,,3.25,244,1358.673333,3.779255477,243.2207445,1354.334179,15.22419622,,,88.95932234,0.088959322
45184,Field,Light,Porites compressa,Resistant,234,30,1.3,2109.5,75.75,37.875,,37.875,246,7367.794615,4.50659749,242.4934025,7262.770672,17.66764385,,,411.0774891,0.411077489
