ColonyID,Species,Phenotype,Date,Score
229,Porites compressa,Bleach,6/20/2019,1
230,Porites compressa,Non-bleach,6/20/2019,1
237,Porites compressa,Bleach,6/20/2019,1
238,Porites compressa,Non-bleach,6/20/2019,1
239,Porites compressa,Bleach,6/20/2019,1
240,Porites compressa,Non-bleach,6/20/2019,1
243,Porites compressa,Bleach,6/20/2019,2
244,Porites compressa,Non-bleach,6/20/2019,1
247,Porites compressa,Bleach,6/20/2019,1
248,Porites compressa,Non-bleach,6/20/2019,1
3,Montipora capitata,Bleach,7/19/2019,2
4,Montipora capitata,Non-bleach,7/19/2019,1
11,Montipora capitata,Bleach,7/19/2019,3
12,Montipora capitata,Non-bleach,7/19/2019,2
19,Montipora capitata,Bleach,7/19/2019,2
20,Montipora capitata,Non-bleach,7/19/2019,1
26,Porites compressa,Non-bleach,7/19/2019,1
27,Porites compressa,Bleach,7/19/2019,1
35,Porites compressa,Bleach,7/19/2019,1
36,Porites compressa,Non-bleach,7/19/2019,1
41,Porites compressa,Bleach,7/19/2019,1
42,Porites compressa,Non-bleach,7/19/2019,1
43,Porites compressa,Bleach,7/19/2019,1
44,Porites compressa,Non-bleach,7/19/2019,1
45,Porites compressa,Bleach,7/19/2019,1
46,Porites compressa,Non-bleach,7/19/2019,1
201,Montipora capitata,Bleach,7/19/2019,2
202,Montipora capitata,Non-bleach,7/19/2019,1
203,Montipora capitata,Bleach,7/19/2019,1
204,Montipora capitata,Non-bleach,7/19/2019,1
209,Montipora capitata,Bleach,7/19/2019,4
210,Montipora capitata,Non-bleach,7/19/2019,2
211,Montipora capitata,Bleach,7/19/2019,3
212,Montipora capitata,Non-bleach,7/19/2019,1
217,Montipora capitata,Bleach,7/19/2019,2
218,Montipora capitata,Non-bleach,7/19/2019,1
219,Montipora capitata,Bleach,7/19/2019,3
220,Montipora capitata,Non-bleach,7/19/2019,2
221,Montipora capitata,Bleach,7/19/2019,2
222,Montipora capitata,Non-bleach,7/19/2019,1
229,Porites compressa,Bleach,7/19/2019,1
230,Porites compressa,Non-bleach,7/19/2019,1
237,Porites compressa,Bleach,7/19/2019,1
238,Porites compressa,Non-bleach,7/19/2019,1
239,Porites compressa,Bleach,7/19/2019,2
240,Porites compressa,Non-bleach,7/19/2019,1
243,Porites compressa,Bleach,7/19/2019,1
244,Porites compressa,Non-bleach,7/19/2019,1
247,Porites compressa,Bleach,7/19/2019,1
248,Porites compressa,Non-bleach,7/19/2019,1
3,Montipora capitata,Bleach,9/16/2019,3
4,Montipora capitata,Non-bleach,9/16/2019,1
11,Montipora capitata,Bleach,9/16/2019,4
12,Montipora capitata,Non-bleach,9/16/2019,2
19,Montipora capitata,Bleach,9/16/2019,3
20,Montipora capitata,Non-bleach,9/16/2019,1
26,Porites compressa,Non-bleach,9/16/2019,1
27,Porites compressa,Bleach,9/16/2019,2
35,Porites compressa,Bleach,9/16/2019,1
36,Porites compressa,Non-bleach,9/16/2019,1
41,Porites compressa,Bleach,9/16/2019,1
42,Porites compressa,Non-bleach,9/16/2019,1
