Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Surface Area (m^2) by color category: 0,Surface Area (m^2) by color category: 1,Surface Area (m^2) by color category: 2,Surface Area (m^2) by color category: 3,Surface Area (m^2) by color category: 4,Surface Area (m^2) by color category: 5,Surface Area (m^2) by color category: 6,Surface Area (m^2) by color category: 7,Surface Area (m^2) by color category: 8,Surface Area (m^2) by color category: 9,Surface Area (m^2) by color category: 10,Surface Area (m^2) by color category: 11,Surface Area (m^2) by color category: 12,Surface Area (m^2) by color category: 13,Surface Area (m^2) by color category: 14,Surface Area (m^2) by color category: 15,Surface Area (m^2) by color category: 16,Surface Area (m^2) by color category: 17,Surface Area (m^2) by color category: 18,Surface Area (m^2) by color category: 19,Surface Area (m^2) by color category: 20,Surface Area (m^2) by color category: 21,Surface Area (m^2) by color category: 22,Surface Area (m^2) by color category: 23,Surface Area (m^2) by color category: 24,Surface Area (m^2) by color category: 25,Surface Area (m^2) by color category: 26,Surface Area (m^2) by color category: 27,Surface Area (m^2) by color category: 28,Surface Area (m^2) by color category: 29,Surface Area (m^2) by color category: 30,Surface Area (m^2) by color category: 31,Surface Area (m^2) by color category: 32,Surface Area (m^2) by color category: 33,Surface Area (m^2) by color category: 34,Surface Area (m^2) by color category: 35,Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3)
20240119_Phys_202,3D model (84632 faces),Mesh,38.02202589,7.830798509,0,3.42E-07,0,0.000255292,0.001008817,9.28E-05,9.89E-05,7.01E-05,4.46E-08,6.41E-06,0,0,0,0,0,1.37E-06,2.02E-05,2.56E-06,1.95E-05,8.21E-05,8.37E-05,0.000290857,6.57E-08,0.000492773,4.09E-05,0.000277486,6.90E-05,4.62E-05,2.08E-05,0.000157897,0.000442795,3.51E-07,6.76E-05,0.000105294,8.10E-06,4.01E-05,5.673658905,2.086248494,3.587410412,9.633243248,45.54471261
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240119_Phys_203,3D model (28112 faces),Mesh,17.06858134,2.723373706,0,0,0,8.00E-05,0.00053499,1.58E-05,4.69E-05,1.45E-05,0,0,0,0,0,0,0,0,3.48E-06,0,0,8.35E-06,2.78E-05,0.000328063,0,0.000115439,6.23E-06,7.56E-05,2.03E-05,8.38E-07,1.65E-07,4.41E-05,0.000292568,2.95E-07,6.04E-05,2.35E-05,2.93E-06,4.48E-06,11.52253425,2.043317091,9.479217155,3.563994804,39.32740359
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240119_Phys_204,3D model (36790 faces),Mesh,18.82415589,3.655077004,0,3.33E-07,0,0.000113502,0.000550641,3.41E-05,5.70E-05,4.98E-05,0,0,0,0,0,0,0,3.92E-06,2.31E-05,1.13E-06,1.80E-06,1.79E-05,5.52E-05,0.000198858,1.19E-07,0.000229699,5.12E-05,0.000175168,3.64E-05,1.10E-05,3.32E-06,4.26E-06,0.000110911,4.60E-07,7.42E-05,7.41E-05,4.29E-07,3.82E-06,4.771068582,2.097265483,2.673803099,3.867508627,15.0669001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240119_Phys_205,3D model (31188 faces),Mesh,14.12422623,2.340889171,0,0,0,4.59E-05,0.000586168,3.31E-05,2.45E-05,1.17E-05,0,0,0,0,0,0,0,0,1.15E-06,0,0,9.49E-06,8.26E-06,0.000182468,0,0.000140959,5.58E-06,6.49E-05,8.55E-06,0,7.92E-07,8.22E-06,0.000169696,0,6.89E-05,4.14E-05,0,5.87E-07,4.975661503,2.034710292,2.940951211,2.611797436,10.27838765
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240119_Phys_206,3D model (33060 faces),Mesh,15.4556613,2.641908242,4.60E-06,0,0,6.71E-05,0.000358002,7.88E-05,4.28E-05,2.04E-05,0,0,0,0,0,0,0,0,7.92E-07,0,0,4.17E-05,0,9.72E-05,0,4.75E-05,2.79E-07,0.000127321,6.68E-07,0,1.83E-05,4.29E-05,0.000328709,7.10E-07,0.000117378,0.000142242,3.01E-06,5.03E-06,5.156766677,2.144609535,3.012157142,2.805160926,11.66809219
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240119_Phys_209,3D model (64684 faces),Mesh,25.30017054,8.540107387,5.52E-06,0,0,0.000162336,0.00069869,7.05E-05,1.09E-05,6.82E-06,0,0,0,0,0,0,0,0,0,0,0,7.78E-05,1.26E-07,0.000169767,0,5.76E-05,1.69E-07,2.62E-05,1.17E-06,0,5.51E-05,0.000440352,0.000682733,5.69E-09,1.80E-05,4.63E-05,0,0,5.57345785,2.112136428,3.461321422,6.554285766,53.96538874
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
