"","Date.x","Project.x","Colony_ID","Light","Time_start","Time_end","Chamber","Zub","Run","Sample_Volume_mL","Starting_alk_value","Alk_avg","Temperature_C","Notes.x","start","end","elapsed_mins","elapsed_hours","Delta_TA_raw","Delta_TA_corr","Net_Calcification","Date.y","Project.y","Species","Phenotype","Surface_Area_cm2","Notes.y","Net_Calcification_cm2"
"47","2023-09-17","TCB ","239","Light","12:30","13:43",9,9,10,238,2178.5,2106.5,27.61,NA,12H 30M 0S,13H 43M 0S,73,1.21666666666667,72,77.3,7.7722714520548,2023-09-17,"TCB","Porites compressa","Susceptible",20.64626767,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.376449224444972
"48","2023-09-17","TCB ","234","Light","12:31","13:43",10,10,10,233,2178.5,1990.8,27.61,NA,12H 31M 0S,13H 43M 0S,72,1.2,187.7,193,19.2617216666667,2023-09-17,"TCB","Porites compressa","Resistant",27.38391964,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.703395347338475
"49","2023-09-15","TCB ","1","Dark","17:27","18:02",1,21,6,233,2180.35,2175.2,27.82,NA,17H 27M 0S,18H 2M 0S,35,0.583333333333333,5.15000000000009,10.4500000000001,2.1454506857143,2023-09-15,"TCB","Montipora capitata","Susceptible",36.34458077,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.0590308277124283
"50","2023-09-15","TCB ","201","Dark","17:27","18:02",2,22,6,240,2180.35,2166.55,27.82,NA,17H 27M 0S,18H 2M 0S,35,0.583333333333333,13.7999999999997,19.0999999999997,4.0391588571428,2023-09-15,"TCB","Montipora capitata","Susceptible",17.54826342,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.23017427767464
"51","2023-09-15","TCB ","28","Dark","17:27","18:02",3,23,6,237,2180.35,2166.2,27.82,NA,17H 27M 0S,18H 2M 0S,35,0.583333333333333,14.1500000000001,19.4500000000001,4.06176017142859,2023-09-15,"TCB","Porites compressa","Resistant",25.82005955,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.157310255755339
"52","2023-09-15","TCB ","29","Dark","17:28","18:02",4,24,6,236,2180.35,2159.2,27.82,NA,17H 28M 0S,18H 2M 0S,34,0.566666666666667,21.1500000000001,26.4500000000001,5.66204258823531,2023-09-15,"TCB","Porites compressa","Susceptible",22.2816215,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.254112681531518
"53","2023-09-15","TCB ","2","Dark","17:28","18:03",5,25,6,229,2180.35,2146.25,27.82,NA,17H 28M 0S,18H 3M 0S,35,0.583333333333333,34.0999999999999,39.3999999999999,7.95019954285712,2023-09-15,"TCB","Montipora capitata","Resistant",46.87715904,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.169596445383417
"54","2023-09-15","TCB ","12","Dark","17:28","18:03",6,26,6,239,2180.35,2183.9,27.82,NA,17H 28M 0S,18H 3M 0S,35,0.583333333333333,-3.55000000000018,1.74999999999982,0.368537999999962,2023-09-15,"TCB","Montipora capitata","Resistant",17.91342415,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.0205732860961684
"55","2023-09-15","TCB ","225","Dark","17:29","18:03",7,27,6,232,2180.35,2151.75,27.82,NA,17H 29M 0S,18H 3M 0S,34,0.566666666666667,28.5999999999999,33.8999999999999,7.1338362352941,2023-09-15,"TCB","Porites compressa","Susceptible",38.56473475,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.18498341247619
"56","2023-09-15","TCB ","4","Dark","17:29","18:03",8,28,6,239,2180.35,2180.55,27.82,NA,17H 29M 0S,18H 3M 0S,34,0.566666666666667,-0.200000000000273,5.09999999999973,1.10561399999994,2023-09-15,"TCB","Montipora capitata","Resistant",21.38646321,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.0516969070174713
"57","2023-09-15","TCB ","226","Dark","17:29","18:04",9,29,6,232,2180.35,2138.5,27.82,NA,17H 29M 0S,18H 4M 0S,35,0.583333333333333,41.8499999999999,47.1499999999999,9.63864548571427,2023-09-15,"TCB","Porites compressa","Resistant",43.99584863,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.21908079479894
"58","2023-09-15","TCB ","202","Dark","17:30","18:04",10,30,6,237,2180.35,2178.9,27.82,NA,17H 30M 0S,18H 4M 0S,34,0.566666666666667,1.44999999999982,6.74999999999982,1.45106735294114,2023-09-15,"TCB","Montipora capitata","Resistant",18.32203385,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.0791979408411112
"59","2023-09-16","TCB ","20","Dark","16:14","16:46",1,13,7,237,2166.35,2173.25,28.04,NA,16H 14M 0S,16H 46M 0S,32,0.533333333333333,-6.90000000000009,-1.60000000000009,-0.365454000000021,2023-09-16,"TCB","Montipora capitata","Resistant",23.44744167,"All SAs from group A from file group1_T0_20230912_mesh_measure",-0.0155860927236085
"60","2023-09-16","TCB ","43","Dark","16:14","16:46",2,14,7,236,2166.35,2177.6,28.04,NA,16H 14M 0S,16H 46M 0S,32,0.533333333333333,-11.25,-5.95,-1.35329775,2023-09-16,"TCB","Porites compressa","Susceptible",26.11672915,"All SAs from group A from file group1_T0_20230912_mesh_measure",-0.0518172755182094
"61","2023-09-16","TCB ","207","Dark","16:14","16:46",3,15,7,238,2166.35,2185.8,28.04,NA,16H 14M 0S,16H 46M 0S,32,0.533333333333333,-19.4500000000003,-14.1500000000003,-3.24562087500006,2023-09-16,"TCB","Montipora capitata","Susceptible",19.28311848,"All SAs from group A from file group1_T0_20230912_mesh_measure",-0.1683141074078
"62","2023-09-16","TCB ","42","Dark","16:15","16:47",4,16,7,234,2166.35,2164.95,28.04,NA,16H 15M 0S,16H 47M 0S,32,0.533333333333333,1.40000000000009,6.70000000000009,1.51096725000002,2023-09-16,"TCB","Porites compressa","Resistant",25.26160325,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.0598128010738994
"63","2023-09-16","TCB ","205","Dark","16:15","16:47",5,17,7,239,2166.35,2177.05,28.04,NA,16H 15M 0S,16H 47M 0S,32,0.533333333333333,-10.7000000000003,-5.40000000000027,-1.24381575000006,2023-09-16,"TCB","Montipora capitata","Susceptible",20.10097168,"All SAs from group A from file group1_T0_20230912_mesh_measure",-0.0618783892540693
