Measure temperature,Species,Phenotype,Measure temperature2,Target Temperature,Colony.ID,Time (minutes),Total duration (hours),Sample Volume (mL),Best avg alkalinity,Difference,Change in alkalinity_mean divided by 2,mol CaCO3h-1,umol CaCO3h-1,Frag volume (cm3),Total volume via displacement (cm3),Surface area coral (cm2),Surface area plug (cm2),Actual surface area (cm2),umol CaCO3h-1 cm-2,umol CaCO3h-1 cm-2 - blank
32.5,Montipora capitata,Susceptible,32.5,31,203,71,1.183333333,380.456,2169,33.85,16.925,5593.957097,5.593957097,7.222716176,373.2332838,28.55658368,3.117221628,25.43936205,0.219893765,
35.5,Montipora capitata,Susceptible,35.5,34,203,72,1.2,380.878,2176.5,15.95,7.975,2602.126756,2.602126756,7.222716176,373.6552838,28.55658368,3.117221628,25.43936205,0.102287422,
39.4,Montipora capitata,Susceptible,39.4,38,203,71,1.183333333,384.823,2224.75,-26.25,-13.125,-4387.795206,-4.387795206,7.222716176,377.6002838,28.55658368,3.117221628,25.43936205,-0.172480552,
19.5,Montipora capitata,Resistant,19.5,18,204,69,1.15,390.8,2185.15,14.35,7.175,2506.523235,2.506523235,7.228941468,383.5710585,27.00849511,3.117221628,23.89127348,0.104913756,
23.2,Montipora capitata,Resistant,23.2,22,204,69,1.15,391.65,2194.8,15.15,7.575,2652.015404,2.652015404,7.228941468,384.4210585,27.00849511,3.117221628,23.89127348,0.111003518,
26.4,Montipora capitata,Resistant,26.4,25,204,62,1.033333333,385.189,2145.25,37,18.5,7089.217163,7.089217163,7.228941468,377.9600585,27.00849511,3.117221628,23.89127348,0.296728308,
29.4,Montipora capitata,Resistant,29.4,28,204,68,1.133333333,379.311,2166.45,51.8,25.9,8911.086386,8.911086386,7.228941468,372.0820585,27.00849511,3.117221628,23.89127348,0.372984989,
32.5,Montipora capitata,Resistant,32.5,31,204,68,1.133333333,379.19,2179.45,23.95,11.975,4118.772933,4.118772933,7.228941468,371.9610585,27.00849511,3.117221628,23.89127348,0.172396542,
35.5,Montipora capitata,Resistant,35.5,34,204,70,1.166666667,383.608,2171.55,13.6,6.8,2298.491454,2.298491454,7.228941468,376.3790585,27.00849511,3.117221628,23.89127348,0.096206318,
39.4,Montipora capitata,Resistant,39.4,38,204,67,1.116666667,385.344,2187.9,-10.1,-5.05,-1791.470007,-1.791470007,7.228941468,378.1150585,27.00849511,3.117221628,23.89127348,-0.074984283,
19.5,Montipora capitata,Susceptible,19.5,18,205,69,1.15,356.117,2180.25,19.25,9.625,3063.999701,3.063999701,7.481643449,348.6353566,30.51059638,3.117221628,27.39337475,0.111851852,
23.2,Montipora capitata,Susceptible,23.2,22,205,69,1.15,367.42,2185.75,24.2,12.1,3974.142518,3.974142518,7.481643449,359.9383566,30.51059638,3.117221628,27.39337475,0.145076777,
26.4,Montipora capitata,Susceptible,26.4,25,205,73,1.216666667,375.838,2145.25,37,18.5,5874.811302,5.874811302,7.481643449,368.3563566,30.51059638,3.117221628,27.39337475,0.214461028,
29.4,Montipora capitata,Susceptible,29.4,28,205,67,1.116666667,371.164,2168.95,49.3,24.65,8422.719397,8.422719397,7.481643449,363.6823566,30.51059638,3.117221628,27.39337475,0.307472864,
32.5,Montipora capitata,Susceptible,32.5,31,205,68,1.133333333,382.542,2165.4,38,19,6592.773833,6.592773833,7.481643449,375.0603566,30.51059638,3.117221628,27.39337475,0.240670377,
35.5,Montipora capitata,Susceptible,35.5,34,205,70,1.166666667,381.69,2161.8,23.35,11.675,3926.575895,3.926575895,7.481643449,374.2083566,30.51059638,3.117221628,27.39337475,0.143340349,
39.4,Montipora capitata,Susceptible,39.4,38,205,68,1.133333333,380.671,2199.7,-21.9,-10.95,-3780.936334,-3.780936334,7.481643449,373.1893566,30.51059638,3.117221628,27.39337475,-0.138023751,
19.5,Montipora capitata,Resistant,19.5,18,206,70,1.166666667,363.638,2148.15,19.15,9.575,3067.993027,3.067993027,16.51521818,347.1227818,60.8656735,3.117221628,57.74845187,0.053126845,
23.2,Montipora capitata,Resistant,23.2,22,206,75,1.25,370.832,2148.45,54.7,27.35,8340.990676,8.340990676,16.51521818,354.3167818,60.8656735,3.117221628,57.74845187,0.144436611,
26.4,Montipora capitata,Resistant,26.4,25,206,69,1.15,367.294,2091.9,99.85,49.925,16391.8202,16.3918202,16.51521818,350.7787818,60.8656735,3.117221628,57.74845187,0.283848652,
29.4,Montipora capitata,Resistant,29.4,28,206,65,1.083333333,366.965,2047.05,154.65,77.325,26926.23189,26.92623189,16.51521818,350.4497818,60.8656735,3.117221628,57.74845187,0.466267597,
32.5,Montipora capitata,Resistant,32.5,31,206,71,1.183333333,357.404,2049,138.15,69.075,21446.98849,21.44698849,16.51521818,340.8887818,60.8656735,3.117221628,57.74845187,0.37138638,
35.5,Montipora capitata,Resistant,35.5,34,206,70,1.166666667,377.826,2153.9,59.4,29.7,9887.68483,9.88768483,16.51521818,361.3107818,60.8656735,3.117221628,57.74845187,0.171219912,
39.4,Montipora capitata,Resistant,39.4,38,206,70,1.166666667,373.712,2223.8,-30.1,-15.05,-4955.869574,-4.955869574,16.51521818,357.1967818,60.8656735,3.117221628,57.74845187,-0.085818224,
19.5,Montipora capitata,Susceptible,19.5,18,209,70,1.166666667,371.04,2163.4,3.9,1.95,637.5315291,0.637531529,6.776864662,364.2631353,29.75018821,3.117221628,26.63296658,0.023937684,
23.2,Montipora capitata,Susceptible,23.2,22,209,74,1.233333333,359.586,2188.4,14.75,7.375,2210.433453,2.210433453,6.776864662,352.8091353,29.75018821,3.117221628,26.63296658,0.082996141,
26.4,Montipora capitata,Susceptible,26.4,25,209,69,1.15,359.262,2158.05,33.7,16.85,5411.360445,5.411360445,6.776864662,352.4851353,29.75018821,3.117221628,26.63296658,0.20318279,
29.4,Montipora capitata,Susceptible,29.4,28,209,65,1.083333333,369.135,2163.2,38.5,19.25,6742.90386,6.74290386,6.776864662,362.3581353,29.75018821,3.117221628,26.63296658,0.25317885,
32.5,Montipora capitata,Susceptible,32.5,31,209,71,1.183333333,358.7,2158.6,28.55,14.275,4448.294273,4.448294273,6.776864662,351.9231353,29.75018821,3.117221628,26.63296658,0.16702211,
35.5,Montipora capitata,Susceptible,35.5,34,209,70,1.166666667,390.538,2181.55,31.75,15.875,5462.901335,5.462901335,6.776864662,383.7611353,29.75018821,3.117221628,26.63296658,0.205118019,
39.4,Montipora capitata,Susceptible,39.4,38,209,70,1.166666667,378.098,2204.5,-10.8,-5.4,-1799.055101,-1.799055101,6.776864662,371.3211353,29.75018821,3.117221628,26.63296658,-0.067549933,
19.5,Montipora capitata,Resistant,19.5,18,210,68,1.133333333,373.47,2164.45,25.5,12.75,4319.18055,4.31918055,9.683613649,363.7863864,37.02685717,3.117221628,33.90963554,0.127373252,
23.2,Montipora capitata,Resistant,23.2,22,210,69,1.15,379.088,2185.15,19.8,9.9,3354.829907,3.354829907,9.683613649,369.4043864,37.02685717,3.117221628,33.90963554,0.098934414,
26.4,Montipora capitata,Resistant,26.4,25,210,67,1.116666667,377.6,2131.6,31.5,15.75,5474.974567,5.474974567,9.683613649,367.9163864,37.02685717,3.117221628,33.90963554,0.161457783,
29.4,Montipora capitata,Resistant,29.4,28,210,68,1.133333333,376.488,2124.7,72.4,36.2,12362.1828,12.3621828,9.683613649,366.8043864,37.02685717,3.117221628,33.90963554,0.364562538,
32.5,Montipora capitata,Resistant,32.5,31,210,69,1.15,372.365,2123.65,64.2,32.1,10684.86797,10.68486797,9.683613649,362.6813864,37.02685717,3.117221628,33.90963554,0.315098284,
35.5,Montipora capitata,Resistant,35.5,34,210,68,1.133333333,374.81,2166.65,27.7,13.85,4708.649839,4.708649839,9.683613649,365.1263864,37.02685717,3.117221628,33.90963554,0.138858757,
39.4,Montipora capitata,Resistant,39.4,38,210,68,1.133333333,371.972,2217.1,-30.8,-15.4,-5195.967464,-5.195967464,9.683613649,362.2883864,37.02685717,3.117221628,33.90963554,-0.153229823,
19.5,Montipora capitata,Susceptible,19.5,18,211,69,1.15,382.072,2167.2,32.3,16.15,5515.857181,5.515857181,10.21080951,371.8611905,40.76997352,3.117221628,37.65275189,0.146492803,
23.2,Montipora capitata,Susceptible,23.2,22,211,69,1.15,379.025,2176.8,33.15,16.575,5615.865111,5.615865111,10.21080951,368.8141905,40.76997352,3.117221628,37.65275189,0.149148862,
26.4,Montipora capitata,Susceptible,26.4,25,211,63,1.05,378.815,2133.4,48.85,24.425,9058.693289,9.058693289,10.21080951,368.6041905,40.76997352,3.117221628,37.65275189,0.240585159,
29.4,Montipora capitata,Susceptible,29.4,28,211,67,1.116666667,383.919,2135.2,83.05,41.525,14676.37531,14.67637531,10.21080951,373.7081905,40.76997352,3.117221628,37.65275189,0.389782275,
32.5,Montipora capitata,Susceptible,32.5,31,211,68,1.133333333,376.684,2143.2,60.2,30.1,10284.40383,10.28440383,10.21080951,366.4731905,40.76997352,3.117221628,37.65275189,0.273138172,
35.5,Montipora capitata,Susceptible,35.5,34,211,69,1.15,380.296,2150.15,35,17.5,5949.152209,5.949152209,10.21080951,370.0851905,40.76997352,3.117221628,37.65275189,0.158000462,
39.4,Montipora capitata,Susceptible,39.4,38,211,68,1.133333333,376.43,2187.6,-9.8,-4.9,-1673.076349,-1.673076349,10.21080951,366.2191905,40.76997352,3.117221628,37.65275189,-0.044434371,
19.5,Montipora capitata,Resistant,19.5,18,212,72,1.2,374.626,2182.3,18.6,9.3,2984.645342,2.984645342,10.02446269,364.6015373,40.7697899,3.117221628,37.65256827,0.079268041,
23.2,Montipora capitata,Resistant,23.2,22,212,73,1.216666667,376.918,2209.3,34.5,17.25,5493.605666,5.493605666,10.02446269,366.8935373,40.7697899,3.117221628,37.65256827,0.145902548,
26.4,Montipora capitata,Resistant,26.4,25,212,70,1.166666667,372.75,2165.95,35.2,17.6,5780.6496,5.7806496,10.02446269,362.7255373,40.7697899,3.117221628,37.65256827,0.153526037,
29.4,Montipora capitata,Resistant,29.4,28,212,71,1.183333333,374.551,2166.6,37.9,18.95,6166.037924,6.166037924,10.02446269,364.5265373,40.7697899,3.117221628,37.65256827,0.163761417,
32.5,Montipora capitata,Resistant,32.5,31,212,71,1.183333333,401.949,2190.85,12,6,2095.116703,2.095116703,10.02446269,391.9245373,40.7697899,3.117221628,37.65256827,0.055643394,
35.5,Montipora capitata,Resistant,35.5,34,212,72,1.2,400.222,2179,13.45,6.725,2305.712294,2.305712294,10.02446269,390.1975373,40.7697899,3.117221628,37.65256827,0.061236521,
39.4,Montipora capitata,Resistant,39.4,38,212,71,1.183333333,392.965,2222.65,-24.15,-12.075,-4122.180711,-4.122180711,10.02446269,382.9405373,40.7697899,3.117221628,37.65256827,-0.109479403,
19.5,Montipora capitata,Susceptible,19.5,18,213,68,1.133333333,375.719,2180.7,9.25,4.625,1576.196458,1.576196458,6.658688346,369.0603117,26.53385073,3.117221628,23.4166291,0.067310989,
23.2,Montipora capitata,Susceptible,23.2,22,213,69,1.15,382.763,2201.35,3.6,1.8,615.8823089,0.615882309,6.658688346,376.1043117,26.53385073,3.117221628,23.4166291,0.026301066,
26.4,Montipora capitata,Susceptible,26.4,25,213,67,1.116666667,378.715,2161.8,1.3,0.65,226.618534,0.226618534,6.658688346,372.0563117,26.53385073,3.117221628,23.4166291,0.009677675,
29.4,Montipora capitata,Susceptible,29.4,28,213,68,1.116666667,377.943,2174.85,22.25,11.125,3870.756823,3.870756823,6.658688346,371.2843117,26.53385073,3.117221628,23.4166291,0.165299489,
32.5,Montipora capitata,Susceptible,32.5,31,213,69,1.15,379.608,2170.35,17.5,8.75,2969.194748,2.969194748,6.658688346,372.9493117,26.53385073,3.117221628,23.4166291,0.126798556,
35.5,Montipora capitata,Susceptible,35.5,34,213,68,1.133333333,378.495,2190.55,3.8,1.9,652.3027359,0.652302736,6.658688346,371.8363117,26.53385073,3.117221628,23.4166291,0.027856389,
39.4,Montipora capitata,Susceptible,39.4,38,213,68,1.133333333,375.333,2191.55,-5.25,-2.625,-893.6789122,-0.893678912,6.658688346,368.6743117,26.53385073,3.117221628,23.4166291,-0.038164285,
19.5,Montipora capitata,Resistant,19.5,18,214,69,1.15,381.819,2184.4,9.55,4.775,1629.7695,1.6297695,6.324130678,375.4948693,28.06110074,3.117221628,24.94387911,0.065337452,
23.2,Montipora capitata,Resistant,23.2,22,214,70,1.166666667,383.22,2197.7,10.95,5.475,1848.751822,1.848751822,6.324130678,376.8958693,28.06110074,3.117221628,24.94387911,0.074116452,
26.4,Montipora capitata,Resistant,26.4,25,214,69,1.15,376.184,2174.4,28.2,14.1,4741.488559,4.741488559,6.324130678,369.8598693,28.06110074,3.117221628,24.94387911,0.190086255,
29.4,Montipora capitata,Resistant,29.4,28,214,69,1.15,383.692,2187.3,10.05,5.025,1723.511099,1.723511099,6.324130678,377.3678693,28.06110074,3.117221628,24.94387911,0.069095552,
32.5,Montipora capitata,Resistant,32.5,31,214,69,1.15,381.484,2163.9,17.7,8.85,3017.969683,3.017969683,6.324130678,375.1598693,28.06110074,3.117221628,24.94387911,0.120990391,
35.5,Montipora capitata,Resistant,35.5,34,214,70,1.166666667,383.273,2183.1,10.45,5.225,1764.577941,1.764577941,6.324130678,376.9488693,28.06110074,3.117221628,24.94387911,0.070741922,
39.4,Montipora capitata,Resistant,39.4,38,214,67,1.116666667,371.128,2215.35,-35.9,-17.95,-6132.784955,-6.132784955,6.324130678,364.8038693,28.06110074,3.117221628,24.94387911,-0.245863321,
19.5,Montipora capitata,Susceptible,19.5,18,219,71,1.183333333,389.471,2167.65,26.3,13.15,4449.250878,4.449250878,6.508254003,382.962746,27.44427242,3.117221628,24.32705079,0.182893147,
23.2,Montipora capitata,Susceptible,23.2,22,219,70,1.166666667,385.248,2196.85,11.8,5.9,2002.805288,2.002805288,6.508254003,378.739746,27.44427242,3.117221628,24.32705079,0.082328323,
26.4,Montipora capitata,Susceptible,26.4,25,219,68,1.133333333,385.757,2189.25,13.35,6.675,2335.61114,2.33561114,6.508254003,379.248746,27.44427242,3.117221628,24.32705079,0.096008808,
29.4,Montipora capitata,Susceptible,29.4,28,219,69,1.15,382.84,2160.2,37.15,18.575,6356.841812,6.356841812,6.508254003,376.331746,27.44427242,3.117221628,24.32705079,0.261307541,
32.5,Montipora capitata,Susceptible,32.5,31,219,69,1.15,380.355,2170,11.6,5.8,1972.024915,1.972024915,6.508254003,373.846746,27.44427242,3.117221628,24.32705079,0.081063049,
35.5,Montipora capitata,Susceptible,35.5,34,219,70,1.166666667,369.119,2183.3,10.25,5.125,1666.888673,1.666888673,6.508254003,362.610746,27.44427242,3.117221628,24.32705079,0.068519965,
39.4,Montipora capitata,Susceptible,39.4,38,219,67,1.116666667,388.044,2218.8,-39.35,-19.675,-7028.542513,-7.028542513,6.508254003,381.535746,27.44427242,3.117221628,24.32705079,-0.288918808,
19.5,Montipora capitata,Resistant,19.5,18,220,70,1.166666667,374.973,2170.95,23,11.5,3799.654977,3.799654977,8.964338274,366.0086617,32.21667059,3.117221628,29.09944896,0.130574809,
23.2,Montipora capitata,Resistant,23.2,22,220,70,1.166666667,369.874,2194.2,14.45,7.225,2354.712994,2.354712994,8.964338274,360.9096617,32.21667059,3.117221628,29.09944896,0.080919505,
26.4,Montipora capitata,Resistant,26.4,25,220,69,1.15,372.686,2166.55,36.05,18.025,6005.008499,6.005008499,8.964338274,363.7216617,32.21667059,3.117221628,29.09944896,0.206361588,
29.4,Montipora capitata,Resistant,29.4,28,220,70,1.166666667,367.734,2142.85,54.5,27.25,8829.713607,8.829713607,8.964338274,358.7696617,32.21667059,3.117221628,29.09944896,0.30343233,
32.5,Montipora capitata,Resistant,32.5,31,220,70,1.166666667,378.208,2140.45,41.15,20.575,6856.727339,6.856727339,8.964338274,369.2436617,32.21667059,3.117221628,29.09944896,0.235630831,
35.5,Montipora capitata,Resistant,35.5,34,220,70,1.166666667,376.277,2186.8,6.75,3.375,1118.994044,1.118994044,8.964338274,367.3126617,32.21667059,3.117221628,29.09944896,0.038454132,
39.4,Montipora capitata,Resistant,39.4,38,220,67,1.116666667,375.283,2222.05,-42.6,-21.3,-7358.817923,-7.358817923,8.964338274,366.3186617,32.21667059,3.117221628,29.09944896,-0.25288513,
19.5,Montipora capitata,Susceptible,19.5,18,221,71,1.183333333,373.362,2159.55,7.75,3.875,1256.862699,1.256862699,7.826007582,365.5359924,29.18820217,3.117221628,26.07098054,0.048209261,
23.2,Montipora capitata,Susceptible,23.2,22,221,75,1.25,381.817,2174.25,28.9,14.45,4537.391047,4.537391047,7.826007582,373.9909924,29.18820217,3.117221628,26.07098054,0.174039908,
26.4,Montipora capitata,Susceptible,26.4,25,221,69,1.15,364.775,2145.35,46.4,23.2,7564.989426,7.564989426,7.826007582,356.9489924,29.18820217,3.117221628,26.07098054,0.290168964,
29.4,Montipora capitata,Susceptible,29.4,28,221,66,1.1,374.697,2146.1,55.6,27.8,9734.764313,9.734764313,7.826007582,366.8709924,29.18820217,3.117221628,26.07098054,0.373394637,
32.5,Montipora capitata,Susceptible,32.5,31,221,72,1.2,374,2142.35,44.8,22.4,7176.810667,7.176810667,7.826007582,366.1739924,29.18820217,3.117221628,26.07098054,0.27527966,
35.5,Montipora capitata,Susceptible,35.5,34,221,70,1.166666667,387.937,2191.35,21.95,10.975,3751.561384,3.751561384,7.826007582,380.1109924,29.18820217,3.117221628,26.07098054,0.143897978,
39.4,Montipora capitata,Susceptible,39.4,38,221,70,1.166666667,382.8,2201,-7.3,-3.65,-1231.150423,-1.231150423,7.826007582,374.9739924,29.18820217,3.117221628,26.07098054,-0.04722302,
19.5,Porites compressa,Susceptible,19.5,18,225,71,1.183333333,383.56,2158.7,8.6,4.3,1432.807288,1.432807288,8.130630289,375.4293697,29.62863953,3.117221628,26.5114179,0.054044914,
23.2,Porites compressa,Susceptible,23.2,22,225,75,1.25,385.323,2180.95,22.2,11.1,3517.474951,3.517474951,8.130630289,377.1923697,29.62863953,3.117221628,26.5114179,0.132677738,
26.4,Porites compressa,Susceptible,26.4,25,225,69,1.15,376.669,2162.75,29,14.5,4882.285317,4.882285317,8.130630289,368.5383697,29.62863953,3.117221628,26.5114179,0.184157835,
29.4,Porites compressa,Susceptible,29.4,28,225,65,1.083333333,384.587,2172.95,28.75,14.375,5246.062516,5.246062516,8.130630289,376.4563697,29.62863953,3.117221628,26.5114179,0.197879364,
32.5,Porites compressa,Susceptible,32.5,31,225,71,1.183333333,363.15,2165.7,21.45,10.725,3383.524813,3.383524813,8.130630289,355.0193697,29.62863953,3.117221628,26.5114179,0.127625192,
35.5,Porites compressa,Susceptible,35.5,34,225,70,1.166666667,399.605,2191.05,22.25,11.125,3917.213642,3.917213642,8.130630289,391.4743697,29.62863953,3.117221628,26.5114179,0.14775572,
39.4,Porites compressa,Susceptible,39.4,38,225,69,1.15,391.825,2215.55,-21.85,-10.925,-3826.56295,-3.82656295,8.130630289,383.6943697,29.62863953,3.117221628,26.5114179,-0.144336412,
19.5,Porites compressa,Resistant,19.5,18,226,70,1.166666667,377.861,2156.2,11.1,5.55,1847.869842,1.847869842,7.071568106,370.7894319,25.17102805,3.117221628,22.05380642,0.083789157,
23.2,Porites compressa,Resistant,23.2,22,226,75,1.25,394.951,2166.95,36.2,18.1,5879.019413,5.879019413,7.071568106,387.8794319,25.17102805,3.117221628,22.05380642,0.266576177,
26.4,Porites compressa,Resistant,26.4,25,226,69,1.15,380.873,2144.65,47.1,23.55,8018.005918,8.018005918,7.071568106,373.8014319,25.17102805,3.117221628,22.05380642,0.363565625,
29.4,Porites compressa,Resistant,29.4,28,226,65,1.083333333,378.08,2158.35,43.35,21.675,7776.31454,7.77631454,7.071568106,371.0084319,25.17102805,3.117221628,22.05380642,0.352606457,
32.5,Porites compressa,Resistant,32.5,31,226,71,1.183333333,374.004,2141.7,45.45,22.725,7383.565897,7.383565897,7.071568106,366.9324319,25.17102805,3.117221628,22.05380642,0.334797801,
35.5,Porites compressa,Resistant,35.5,34,226,70,1.166666667,388.315,2174.05,39.25,19.625,6714.909401,6.714909401,7.071568106,381.2434319,25.17102805,3.117221628,22.05380642,0.304478477,
39.4,Porites compressa,Resistant,39.4,38,226,70,1.166666667,387.625,2212.4,-18.7,-9.35,-3193.52055,-3.19352055,7.071568106,380.5534319,25.17102805,3.117221628,22.05380642,-0.144805867,
19.5,Porites compressa,Susceptible,19.5,18,233,71,1.183333333,371.427,2166.35,34.55,17.275,5574.135773,5.574135773,7.484001814,363.9429982,25.8859526,3.117221628,22.76873097,0.244815391,
23.2,Porites compressa,Susceptible,23.2,22,233,73,1.216666667,379.948,2204.45,39.35,19.675,6316.265962,6.316265962,7.484001814,372.4639982,25.8859526,3.117221628,22.76873097,0.277409662,
26.4,Porites compressa,Susceptible,26.4,25,233,70,1.166666667,377.518,2163.7,37.45,18.725,6228.820489,6.228820489,7.484001814,370.0339982,25.8859526,3.117221628,22.76873097,0.273569067,
29.4,Porites compressa,Susceptible,29.4,28,233,71,1.183333333,378.96,2151.45,53.05,26.525,8732.423317,8.732423317,7.484001814,371.4759982,25.8859526,3.117221628,22.76873097,0.38352701,
32.5,Porites compressa,Susceptible,32.5,31,233,71,1.183333333,206.015,2166,36.85,18.425,3297.557335,3.297557335,7.484001814,198.5309982,25.8859526,3.117221628,22.76873097,0.144828332,
35.5,Porites compressa,Susceptible,35.5,34,233,72,1.2,375.084,2161.3,31.15,15.575,5004.589527,5.004589527,7.484001814,367.5999982,25.8859526,3.117221628,22.76873097,0.219800986,
39.4,Porites compressa,Susceptible,39.4,38,233,71,1.183333333,366.45,2202.15,-3.65,-1.825,-580.9832493,-0.580983249,7.484001814,358.9659982,25.8859526,3.117221628,22.76873097,-0.025516716,
19.5,Porites compressa,Resistant,19.5,18,234,69,1.15,385.251,2176.7,17.25,8.625,2970.28521,2.97028521,10.18362333,375.0673767,28.18958415,3.117221628,25.07236252,0.118468501,
23.2,Porites compressa,Resistant,23.2,22,234,69,1.15,397.606,2179.3,29.35,14.675,5215.864657,5.215864657,10.18362333,387.4223767,28.18958415,3.117221628,25.07236252,0.208032436,
26.4,Porites compressa,Resistant,26.4,25,234,69,1.15,387.462,2165.3,37.3,18.65,6459.56431,6.45956431,10.18362333,377.2783767,28.18958415,3.117221628,25.07236252,0.257636842,
29.4,Porites compressa,Resistant,29.4,28,234,70,1.166666667,398.06,2132.5,64.85,32.425,11372.99501,11.37299501,10.18362333,387.8763767,28.18958415,3.117221628,25.07236252,0.453606835,
32.5,Porites compressa,Resistant,32.5,31,234,70,1.166666667,394.355,2115.65,65.95,32.975,11458.25494,11.45825494,10.18362333,384.1713767,28.18958415,3.117221628,25.07236252,0.457007389,
35.5,Porites compressa,Resistant,35.5,34,234,70,1.166666667,392.98,2168.7,24.85,12.425,4302.423636,4.302423636,10.18362333,382.7963767,28.18958415,3.117221628,25.07236252,0.171600248,
39.4,Porites compressa,Resistant,39.4,38,234,66,1.1,394.14,2209.7,-30.25,-15.125,-5571.1689,-5.5711689,10.18362333,383.9563767,28.18958415,3.117221628,25.07236252,-0.222203588,
19.5,Porites compressa,Susceptible,19.5,18,235,69,1.15,379.437,2160.25,39.25,19.625,6656.479788,6.656479788,10.35576511,369.0812349,33.81178627,3.117221628,30.69456464,0.216861841,
23.2,Porites compressa,Susceptible,23.2,22,235,69,1.15,380.835,2136.9,73.05,36.525,12434.32898,12.43432898,10.35576511,370.4792349,33.81178627,3.117221628,30.69456464,0.405098724,
26.4,Porites compressa,Susceptible,26.4,25,235,73,1.216666667,389.284,2061.15,121.1,60.55,19916.00408,19.91600408,10.35576511,378.9282349,33.81178627,3.117221628,30.69456464,0.648844651,
29.4,Porites compressa,Susceptible,29.4,28,235,67,1.116666667,371.777,2070.8,147.45,73.725,25232.88232,25.23288232,10.35576511,361.4212349,33.81178627,3.117221628,30.69456464,0.822063535,
32.5,Porites compressa,Susceptible,32.5,31,235,68,1.133333333,374.998,2061,142.4,71.2,24218.34142,24.21834142,10.35576511,364.6422349,33.81178627,3.117221628,30.69456464,0.789010748,
35.5,Porites compressa,Susceptible,35.5,34,235,70,1.166666667,375.697,2108.95,76.2,38.1,12612.72794,12.61272794,10.35576511,365.3412349,33.81178627,3.117221628,30.69456464,0.410910794,
39.4,Porites compressa,Susceptible,39.4,38,235,68,1.133333333,386.078,2206.55,-28.75,-14.375,-5034.059687,-5.034059687,10.35576511,375.7222349,33.81178627,3.117221628,30.69456464,-0.164004922,
19.5,Porites compressa,Resistant,19.5,18,236,70,1.166666667,380.151,2166.1,27.85,13.925,4664.420186,4.664420186,12.48218124,367.6688188,37.2258348,3.117221628,34.10861317,0.136751974,
23.2,Porites compressa,Resistant,23.2,22,236,70,1.166666667,380.387,2144.45,64.2,32.1,10759.12674,10.75912674,12.48218124,367.9048188,37.2258348,3.117221628,34.10861317,0.315437238,
26.4,Porites compressa,Resistant,26.4,25,236,69,1.15,379.474,2111.25,91.35,45.675,15493.72543,15.49372543,12.48218124,366.9918188,37.2258348,3.117221628,34.10861317,0.454246713,
29.4,Porites compressa,Resistant,29.4,28,236,69,1.15,380.99,2099.05,98.3,49.15,16739.11038,16.73911038,12.48218124,368.5078188,37.2258348,3.117221628,34.10861317,0.490759044,
32.5,Porites compressa,Resistant,32.5,31,236,69,1.15,380.213,2089.75,91.85,45.925,15608.86776,15.60886776,12.48218124,367.7308188,37.2258348,3.117221628,34.10861317,0.457622469,
35.5,Porites compressa,Resistant,35.5,34,236,70,1.166666667,368.145,2151.5,42.05,21.025,6820.264788,6.820264788,12.48218124,355.6628188,37.2258348,3.117221628,34.10861317,0.199957259,
39.4,Porites compressa,Resistant,39.4,38,236,66,1.1,376.36,2202.8,-23.35,-11.675,-4106.395531,-4.106395531,12.48218124,363.8778188,37.2258348,3.117221628,34.10861317,-0.120391747,
19.5,Porites compressa,Susceptible,19.5,18,237,71,1.183333333,388.538,2168.8,-1.5,-0.75,-253.1516603,-0.25315166,5.700081463,382.8379185,21.01271367,3.117221628,17.89549204,-0.014146113,
23.2,Porites compressa,Susceptible,23.2,22,237,74,1.233333333,377.719,2181.95,21.2,10.6,3337.239243,3.337239243,5.700081463,372.0189185,21.01271367,3.117221628,17.89549204,0.186484911,
26.4,Porites compressa,Susceptible,26.4,25,237,69,1.15,365.113,2151,40.75,20.375,6649.977688,6.649977688,5.700081463,359.4129185,21.01271367,3.117221628,17.89549204,0.371600718,
29.4,Porites compressa,Susceptible,29.4,28,237,66,1.1,361.513,2158.85,42.85,21.425,7238.44334,7.23844334,5.700081463,355.8129185,21.01271367,3.117221628,17.89549204,0.404484175,
32.5,Porites compressa,Susceptible,32.5,31,237,72,1.2,377.481,2145,42.15,21.075,6815.136344,6.815136344,5.700081463,371.7809185,21.01271367,3.117221628,17.89549204,0.380829783,
35.5,Porites compressa,Susceptible,35.5,34,237,70,1.166666667,394,2183.9,29.4,14.7,5103.4032,5.1034032,5.700081463,388.2999185,21.01271367,3.117221628,17.89549204,0.285178144,
39.4,Porites compressa,Susceptible,39.4,38,237,69,1.15,383.479,2212.45,-18.75,-9.375,-3213.72075,-3.21372075,5.700081463,377.7789185,21.01271367,3.117221628,17.89549204,-0.179582698,
19.5,Porites compressa,Resistant,19.5,18,238,70,1.166666667,392.955,2176.3,23.2,11.6,4016.494101,4.016494101,9.972482845,382.9825172,31.40361337,3.117221628,28.28639174,0.141993865,
23.2,Porites compressa,Resistant,23.2,22,238,69,1.15,369.055,2183.5,26.45,13.225,4362.96821,4.36296821,9.972482845,359.0825172,31.40361337,3.117221628,28.28639174,0.154242657,
26.4,Porites compressa,Resistant,26.4,25,238,62,1.033333333,376.146,2132.5,49.75,24.875,9308.339457,9.308339457,9.972482845,366.1735172,31.40361337,3.117221628,28.28639174,0.329074827,
