sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date,collection_depth,origin,timepoint,Phenotype,,,,
DL107,DL107_S246_L001_R1_001.fastq.gz,DL107_S246_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,2.6,DL,Sept_2024,,,,,
DL108,DL108_S239_L001_R1_001.fastq.gz,DL108_S239_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,2.6,DL,Sept_2024,,,,,
DL109,DL109_S201_L001_R1_001.fastq.gz,DL109_S201_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,2.6,DL,Sept_2024,,,,,
DL51,DL51_S136_L001_R1_001.fastq.gz,DL51_S136_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,2.6,DL,May_2024,,,,,
DL52,DL52_S137_L001_R1_001.fastq.gz,DL52_S137_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,2.6,DL,May_2024,,,,,
DL53,DL53_S170_L001_R1_001.fastq.gz,DL53_S170_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,2.6,DL,May_2024,,,,,
DL54,DL54_S164_L001_R1_001.fastq.gz,DL54_S164_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,2.6,DL,May_2024,,,,,
DL55,DL55_S157_L001_R1_001.fastq.gz,DL55_S157_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,2.6,DL,May_2024,,,,,
DL56,DL56_S158_L001_R1_001.fastq.gz,DL56_S158_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,2.6,DL,May_2024,,,,,
DL57,DL57_S159_L001_R1_001.fastq.gz,DL57_S159_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,2.6,DL,May_2024,,,,,
DL58,DL58_S144_L001_R1_001.fastq.gz,DL58_S144_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,2.6,DL,May_2024,,,,,
DL59,DL59_S145_L001_R1_001.fastq.gz,DL59_S145_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,2.6,DL,May_2024,,,,,
DL60,DL60_S178_L001_R1_001.fastq.gz,DL60_S178_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,2.6,DL,May_2024,,,,,
FP01,FP01_S109_L001_R1_001.fastq.gz,FP01_S109_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,4.2,FP,Sept_2022,,,,,
FP02,FP02_S197_L001_R1_001.fastq.gz,FP02_S197_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,4.2,FP,Sept_2022,,,,,
FP03,FP03_S198_L001_R1_001.fastq.gz,FP03_S198_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,4.2,FP,Sept_2022,,,,,
FP04,FP04_S191_L001_R1_001.fastq.gz,FP04_S191_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,4.2,FP,Sept_2022,,,,,
FP05,FP05_S184_L001_R1_001.fastq.gz,FP05_S184_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,4.2,FP,Sept_2022,,,,,
FP06,FP06_S122_L001_R1_001.fastq.gz,FP06_S122_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,4.2,FP,Sept_2022,,,,,
FP07,FP07_S123_L001_R1_001.fastq.gz,FP07_S123_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,4.2,FP,Sept_2022,,,,,
FP08,FP08_S116_L001_R1_001.fastq.gz,FP08_S116_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,4.2,FP,Sept_2022,,,,,
FP09,FP09_S117_L001_R1_001.fastq.gz,FP09_S117_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,4.2,FP,Sept_2022,,,,,
FP10,FP10_S110_L001_R1_001.fastq.gz,FP10_S110_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,4.2,FP,Sept_2022,,,,,
FP100,FP100_S281_L001_R1_001.fastq.gz,FP100_S281_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,4.2,FP,Sept_2024,,,,,
FP101,FP101_S274_L001_R1_001.fastq.gz,FP101_S274_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,4.2,FP,Sept_2024,,,,,
FP102,FP102_S267_L001_R1_001.fastq.gz,FP102_S267_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,4.2,FP,Sept_2024,,,,,
FP103,FP103_S260_L001_R1_001.fastq.gz,FP103_S260_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,4.2,FP,Sept_2024,,,,,
FP104,FP104_S261_L001_R1_001.fastq.gz,FP104_S261_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,4.2,FP,Sept_2024,,,,,
FP105,FP105_S254_L001_R1_001.fastq.gz,FP105_S254_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,4.2,FP,Sept_2024,,,,,
FP106,FP106_S247_L001_R1_001.fastq.gz,FP106_S247_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,4.2,FP,Sept_2024,,,,,
FP107,FP107_S202_L001_R1_001.fastq.gz,FP107_S202_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,4.2,FP,Sept_2024,,,,,
FP108,FP108_S282_L001_R1_001.fastq.gz,FP108_S282_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,4.2,FP,Sept_2024,,,,,
FP109,FP109_S275_L001_R1_001.fastq.gz,FP109_S275_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,4.2,FP,Sept_2024,,,,,
FP51,FP51_S171_L001_R1_001.fastq.gz,FP51_S171_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,4.2,FP,May_2024,,,,,
FP52,FP52_S172_L001_R1_001.fastq.gz,FP52_S172_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,4.2,FP,May_2024,,,,,
FP53,FP53_S165_L001_R1_001.fastq.gz,FP53_S165_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,4.2,FP,May_2024,,,,,
FP54,FP54_S166_L001_R1_001.fastq.gz,FP54_S166_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,4.2,FP,May_2024,,,,,
FP55,FP55_S167_L001_R1_001.fastq.gz,FP55_S167_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,4.2,FP,May_2024,,,,,
FP56,FP56_S152_L001_R1_001.fastq.gz,FP56_S152_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,4.2,FP,May_2024,,,,,
FP57,FP57_S153_L001_R1_001.fastq.gz,FP57_S153_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,4.2,FP,May_2024,,,,,
FP58,FP58_S186_L001_R1_001.fastq.gz,FP58_S186_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,4.2,FP,May_2024,,,,,
FP59,FP59_S179_L001_R1_001.fastq.gz,FP59_S179_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,4.2,FP,May_2024,,,,,
FP60,FP60_S180_L001_R1_001.fastq.gz,FP60_S180_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,4.2,FP,May_2024,,,,,
HB01,HB01_S111_L001_R1_001.fastq.gz,HB01_S111_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,6.1,HB,Sept_2022,,,,,
HB02,HB02_S192_L001_R1_001.fastq.gz,HB02_S192_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,6.1,HB,Sept_2022,,,,,
HB03,HB03_S130_L001_R1_001.fastq.gz,HB03_S130_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,6.1,HB,Sept_2022,,,,,
HB05,HB05_S131_L001_R1_001.fastq.gz,HB05_S131_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,6.1,HB,Sept_2022,,,,,
HB06,HB06_S124_L001_R1_001.fastq.gz,HB06_S124_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,6.1,HB,Sept_2022,,,,,
HB07,HB07_S125_L001_R1_001.fastq.gz,HB07_S125_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,6.1,HB,Sept_2022,,,,,
HB08,HB08_S118_L001_R1_001.fastq.gz,HB08_S118_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,6.1,HB,Sept_2022,,,,,
