"","Colony_ID","Run.x","Interval","Light_Value","N_points","O2_start","O2_end","DeltaT_min","DeltaT_max","O2_min","O2_max","Slope","Avg_Blank_Slope","Blank_Corrected_Slope","Date","Project","Timepoint","Run.y","Chamber","Species","Phenotype","Chamber_Volume_mL","Notes","...11","...12","...13","X","Without_wax_weight_g","With_wax_weight_g","delta.mass.g","surface.area.cm2","Chamber_Volume_L","Slope_norm"
"54","204",5,5,730,180,199.644,210.246,Inf,-Inf,199.519,210.246,1.18013587807856,0.01345230387971,1.16668357419885,2023-09-15,"CAREER - Phys","September_2023",5,5,"Montipora capitata","Resistant",244,NA,NA,NA,NA,72,2.606,2.988,0.382,8.97665820755479,0.244,1.90274009897094
"55","204",5,6,945,180,211.348,223.128,Inf,-Inf,211.348,223.128,1.34869246431575,-0.000959110670189595,1.34965157498594,2023-09-15,"CAREER - Phys","September_2023",5,5,"Montipora capitata","Resistant",244,NA,NA,NA,NA,72,2.606,2.988,0.382,8.97665820755479,0.244,2.20114196184556
"56","204",5,7,1190,276,224.604,244.51,Inf,-Inf,224.582,244.588,1.46763356342085,-0.0176339072587118,1.48526747067956,2023-09-15,"CAREER - Phys","September_2023",5,5,"Montipora capitata","Resistant",244,NA,NA,NA,NA,72,2.606,2.988,0.382,8.97665820755479,0.244,2.422317444642
"57","205",4,1,0,593,172.974,163.331,245.202,274.808,163.241,173.121,-0.288833390422434,0.0157809834320848,-0.304614373854519,2023-09-15,"CAREER - Phys","September_2023",4,8,"Montipora capitata","Susceptible",246,NA,NA,NA,NA,73,1.549,1.82,0.271,6.36825752420772,0.246,-0.706018583733714
"58","205",4,2,150,186,172.834,170.01,145.562,154.808,168.763,172.834,0.206820221034085,0.0409882290702117,0.165831991963874,2023-09-15,"CAREER - Phys","September_2023",4,8,"Montipora capitata","Susceptible",246,NA,NA,NA,NA,73,1.549,1.82,0.271,6.36825752420772,0.246,0.38435634741252
"59","205",4,3,275,200,170.259,173.54,155.858,165.808,170.167,173.55,0.168469050539436,0.0272478428480824,0.141221207691353,2023-09-15,"CAREER - Phys","September_2023",4,8,"Montipora capitata","Susceptible",246,NA,NA,NA,NA,73,1.549,1.82,0.271,6.36825752420772,0.246,0.327314813761979
"60","205",4,4,530,220,174.061,179.553,166.858,177.807,173.999,179.618,0.515830206327299,0.0136029466426858,0.502227259684613,2023-09-15,"CAREER - Phys","September_2023",4,8,"Montipora capitata","Susceptible",246,NA,NA,NA,NA,73,1.549,1.82,0.271,6.36825752420772,0.246,1.16403495379486
"61","205",4,5,730,180,180.113,185.173,178.858,187.808,180.113,185.302,0.574361235038631,0.000918049300417384,0.573443185738214,2023-09-15,"CAREER - Phys","September_2023",4,8,"Montipora capitata","Susceptible",246,NA,NA,NA,NA,73,1.549,1.82,0.271,6.36825752420772,0.246,1.32909534347844
"62","205",4,6,945,180,185.942,191.512,188.858,197.807,185.928,191.512,0.6149362079076,-0.0116762761276081,0.626612484035208,2023-09-15,"CAREER - Phys","September_2023",4,8,"Montipora capitata","Susceptible",246,NA,NA,NA,NA,73,1.549,1.82,0.271,6.36825752420772,0.246,1.45232824351122
"63","205",4,7,1190,296,191.913,200.838,198.858,213.607,191.913,200.843,0.606073028430415,-0.0238375213938983,0.629910549824313,2023-09-15,"CAREER - Phys","September_2023",4,8,"Montipora capitata","Susceptible",246,NA,NA,NA,NA,73,1.549,1.82,0.271,6.36825752420772,0.246,1.4599723205389
